에포크: 47, 손실: 0.11497456580400467, 정확도: 96.33773040771484, 테스트 손실: 0.2003328800201416, 테스트 정확도: 94.95967102050781
에포크: 48, 손실: 0.11396253108978271, 정확도: 96.36774444580078, 테스트 손실: 0.2004876583814621, 테스트 정확도: 94.98322296142578
에포크: 49, 손실: 0.11313269287347794, 정확도: 96.39490509033203, 테스트 손실: 0.20082248747348785, 테스트 정확도: 94.99079895019531
에포크: 50, 손실: 0.11246845871210098, 정확도: 96.41624450683594, 테스트 손실: 0.20067305862903595, 테스트 정확도: 95.01278686523438
에포크: 51, 손실: 0.11156971007585526, 정확도: 96.44499969482422, 테스트 손실: 0.20056910812854767, 테스트 정확도: 95.03640747070312
에포크: 52, 손실: 0.11075282841920853, 정확도: 96.47223663330078, 테스트 손실: 0.20067355036735535, 테스트 정확도: 95.04949951171875
에포크: 53, 손실: 0.10987744480371475, 정확도: 96.49964904785156, 테스트 손실: 0.2009975016117096, 테스트 정확도: 95.07054138183594
에포크: 54, 손실: 0.10921313613653183, 정확도: 96.52155303955078, 테스트 손실: 0.20636385679244995, 테스트 정확도: 95.05844116210938
에포크: 55, 손실: 0.1086844950914383, 정확도: 96.54010772705078, 테스트 손실: 0.20595501363277435, 테스트 정확도: 95.076416015625
에포크: 56, 손실: 0.1078418716788292, 정확도: 96.56607818603516, 테스트 손실: 0.20565377175807953, 테스트 정확도: 95.08956909179688
에포크: 57, 손실: 0.10731922835111618, 정확도: 96.5849609375, 테스트 손실: 0.20632027089595795, 테스트 정확도: 95.08637237548828
에포크: 58, 손실: 0.10661742836236954, 정확도: 96.60697174072266, 테스트 손실: 0.20654092729091644, 테스트 정확도: 95.10588073730469
에포크: 59, 손실: 0.1060444638133049, 정확도: 96.62718963623047, 테스트 손실: 0.20695820450782776, 테스트 정확도: 95.1156997680664
에포크: 60, 손실: 0.10559806227684021, 정확도: 96.64295959472656, 테스트 손실: 0.207182839512825, 테스트 정확도: 95.13371276855469
에포크: 61, 손실: 0.10499153286218643, 정확도: 96.66171264648438, 테스트 손실: 0.2073439359664917, 테스트 정확도: 95.14484405517578
