에포크: 61, 손실: 0.417036235332489, 정확도: 97.26361083984375, 테스트 손실: 0.13991260528564453, 테스트 정확도: 96.02616882324219
에포크: 62, 손실: 0.4107743203639984, 정확도: 97.29090881347656, 테스트 손실: 0.13982917368412018, 테스트 정확도: 96.03699493408203
에포크: 63, 손실: 0.40473175048828125, 정확도: 97.31632232666016, 테스트 손실: 0.1396089792251587, 테스트 정확도: 96.0559310913086
에포크: 64, 손실: 0.39882996678352356, 정확도: 97.34156799316406, 테스트 손실: 0.1398107260465622, 테스트 정확도: 96.0707778930664
에포크: 65, 손실: 0.3931191563606262, 정확도: 97.36688995361328, 테스트 손실: 0.13978084921836853, 테스트 정확도: 96.08582305908203
에포크: 66, 손실: 0.3876184821128845, 정확도: 97.3908920288086, 테스트 손실: 0.1400034874677658, 테스트 정확도: 96.09686279296875
에포크: 67, 손실: 0.38226038217544556, 정확도: 97.41508483886719, 테스트 손실: 0.1404268592596054, 테스트 정확도: 96.10502624511719
에포크: 68, 손실: 0.3855106234550476, 정확도: 97.40852355957031, 테스트 손실: 0.14047130942344666, 테스트 정확도: 96.11702728271484
에포크: 69, 손실: 0.3806539475917816, 정확도: 97.41963958740234, 테스트 손실: 0.14036114513874054, 테스트 정확도: 96.13037872314453
에포크: 70, 손실: 0.3756934702396393, 정확도: 97.43830871582031, 테스트 손실: 0.14046984910964966, 테스트 정확도: 96.14273071289062
에포크: 71, 손실: 0.3707965910434723, 정확도: 97.45968627929688, 테스트 손실: 0.1406099647283554, 테스트 정확도: 96.15730285644531
에포크: 72, 손실: 0.3660890460014343, 정확도: 97.47928619384766, 테스트 손실: 0.14059506356716156, 테스트 정확도: 96.16509246826172
에포크: 73, 손실: 0.3614768385887146, 정확도: 97.498779296875, 테스트 손실: 0.14077156782150269, 테스트 정확도: 96.17996978759766
에포크: 74, 손실: 0.35695838928222656, 정확도: 97.51822662353516, 테스트 손실: 0.14070968329906464, 테스트 정확도: 96.19300842285156
에포크: 75, 손실: 0.3525611460208893, 정확도: 97.53713989257812, 테스트 손실: 0.14102233946323395, 테스트 정확도: 96.20626831054688
에포크: 76, 손실: 0.3482826352119446, 정확도: 97.55721282958984, 테스트 손실: 0.14130476117134094, 테스트 정확도: 96.21636962890625
에포크: 77, 손실: 0.34416303038597107, 정확도: 97.57475280761719, 테스트 손실: 0.14111606776714325, 테스트 정확도: 96.22621154785156
에포크: 78, 손실: 0.34009015560150146, 정확도: 97.59310913085938, 테스트 손실: 0.14128455519676208, 테스트 정확도: 96.23348236083984
에포크: 79, 손실: 0.33612722158432007, 정확도: 97.61164093017578, 테스트 손실: 0.14127275347709656, 테스트 정확도: 96.24609375
에포크: 80, 손실: 0.3322586417198181, 정확도: 97.6296157836914, 테스트 손실: 0.14167018234729767, 테스트 정확도: 96.25679016113281
에포크: 81, 손실: 0.3284711539745331, 정확도: 97.64710235595703, 테스트 손실: 0.1420077085494995, 테스트 정확도: 96.26446533203125
에포크: 82, 손실: 0.32481643557548523, 정확도: 97.66345977783203, 테스트 손실: 0.1418897956609726, 테스트 정확도: 96.27169036865234
에포크: 83, 손실: 0.32124173641204834, 정확도: 97.67909240722656, 테스트 손실: 0.14242945611476898, 테스트 정확도: 96.28118133544922
에포크: 84, 손실: 0.3177277743816376, 정확도: 97.69587707519531, 테스트 손실: 0.14256717264652252, 테스트 정확도: 96.29032135009766
에포크: 85, 손실: 0.31428298354148865, 정확도: 97.71292114257812, 테스트 손실: 0.14311008155345917, 테스트 정확도: 96.29749298095703
에포크: 86, 손실: 0.3109666407108307, 정확도: 97.72700500488281, 테스트 손실: 0.1434178501367569, 테스트 정확도: 96.30448913574219
에포크: 87, 손실: 0.30769142508506775, 정확도: 97.74291229248047, 테스트 손실: 0.14380444586277008, 테스트 정확도: 96.31402587890625
에포크: 88, 손실: 0.304478257894516, 정확도: 97.75823211669922, 테스트 손실: 0.14408670365810394, 테스트 정확도: 96.32032012939453
에포크: 89, 손실: 0.3013473451137543, 정확도: 97.77342987060547, 테스트 손실: 0.14481213688850403, 테스트 정확도: 96.328857421875
에포크: 90, 손실: 0.29829078912734985, 정확도: 97.78822326660156, 테스트 손실: 0.1457737237215042, 테스트 정확도: 96.33709716796875
에포크: 91, 손실: 0.29529327154159546, 정확도: 97.80284118652344, 테스트 손실: 0.1458384245634079, 테스트 정확도: 96.34866333007812
에포크: 92, 손실: 0.29235023260116577, 정확도: 97.81748962402344, 테스트 손실: 0.14638350903987885, 테스트 정확도: 96.35569763183594
에포크: 93, 손실: 0.28947895765304565, 정확도: 97.83164978027344, 테스트 손실: 0.14637428522109985, 테스트 정확도: 96.3652114868164
에포크: 94, 손실: 0.2866778075695038, 정확도: 97.84479522705078, 테스트 손실: 0.14638938009738922, 테스트 정확도: 96.37577056884766
에포크: 95, 손실: 0.28394773602485657, 정확도: 97.85845947265625, 테스트 손실: 0.14638008177280426, 테스트 정확도: 96.38297271728516
에포크: 96, 손실: 0.2812716066837311, 정확도: 97.87086486816406, 테스트 손실: 0.14636294543743134, 테스트 정확도: 96.3887939453125
에포크: 97, 손실: 0.2786376476287842, 정확도: 97.88361358642578, 테스트 손실: 0.1463111937046051, 테스트 정확도: 96.40020751953125
에포크: 98, 손실: 0.27600952982902527, 정확도: 97.89765167236328, 테스트 손실: 0.1463700830936432, 테스트 정확도: 96.4093246459961
에포크: 99, 손실: 0.2734526991844177, 정확도: 97.91041564941406, 테스트 손실: 0.1463906317949295, 테스트 정확도: 96.41643524169922
에포크: 100, 손실: 0.2725357413291931, 정확도: 97.91189575195312, 테스트 손실: 0.1464661955833435, 테스트 정확도: 96.42456817626953
