에포크: 24, 손실: 0.31714704632759094, 정확도: 90.59351348876953, 테스트 손실: 0.35120731592178345, 테스트 정확도: 89.20777130126953
에포크: 25, 손실: 0.30954238772392273, 정확도: 90.79920196533203, 테스트 손실: 0.346174031496048, 테스트 정확도: 89.34199523925781
에포크: 26, 손실: 0.3025417923927307, 정확도: 90.98753356933594, 테스트 손실: 0.3395557999610901, 테스트 정확도: 89.5154800415039
에포크: 27, 손실: 0.29588451981544495, 정확도: 91.17256927490234, 테스트 손실: 0.33408164978027344, 테스트 정확도: 89.66427612304688
에포크: 28, 손실: 0.28969642519950867, 정확도: 91.3427734375, 테스트 손실: 0.33128246665000916, 테스트 정확도: 89.73432922363281
에포크: 29, 손실: 0.2834734320640564, 정확도: 91.5113296508789, 테스트 손실: 0.32455211877822876, 테스트 정확도: 89.93585968017578
에포크: 30, 손실: 0.27767518162727356, 정확도: 91.66626739501953, 테스트 손실: 0.31860625743865967, 테스트 정확도: 90.1026382446289
에포크: 31, 손실: 0.2724153399467468, 정확도: 91.81343841552734, 테스트 손실: 0.31388914585113525, 테스트 정확도: 90.24800109863281
에포크: 32, 손실: 0.26698628067970276, 정확도: 91.96481323242188, 테스트 손실: 0.30814483761787415, 테스트 정확도: 90.41490936279297
에포크: 33, 손실: 0.2619485855102539, 정확도: 92.10555267333984, 테스트 손실: 0.3033037483692169, 테스트 정확도: 90.54975891113281
에포크: 34, 손실: 0.2569901645183563, 정확도: 92.24483489990234, 테스트 손실: 0.30343514680862427, 테스트 정확도: 90.59613037109375
에포크: 35, 손실: 0.2525814473628998, 정확도: 92.37007141113281, 테스트 손실: 0.29867684841156006, 테스트 정확도: 90.74000549316406
에포크: 36, 손실: 0.24839262664318085, 정확도: 92.48760986328125, 테스트 손실: 0.2948184609413147, 테스트 정확도: 90.84333801269531
에포크: 37, 손실: 0.24397630989551544, 정확도: 92.61181640625, 테스트 손실: 0.29029175639152527, 테스트 정확도: 90.96785736083984
에포크: 38, 손실: 0.2398698478937149, 정확도: 92.72592163085938, 테스트 손실: 0.2857135832309723, 테스트 정확도: 91.1006851196289
에포크: 39, 손실: 0.2360069751739502, 정확도: 92.8353271484375, 테스트 손실: 0.2816118001937866, 테스트 정확도: 91.22615814208984
에포크: 40, 손실: 0.23215390741825104, 정확도: 92.94493103027344, 테스트 손실: 0.27720907330513, 테스트 정확도: 91.36426544189453
에포크: 41, 손실: 0.2284245640039444, 정확도: 93.04925537109375, 테스트 손실: 0.2732327878475189, 테스트 정확도: 91.47770690917969
에포크: 42, 손실: 0.2252163290977478, 정확도: 93.14238739013672, 테스트 손실: 0.26907122135162354, 테스트 정확도: 91.60096740722656
에포크: 43, 손실: 0.22166696190834045, 정확도: 93.24290466308594, 테스트 손실: 0.265573114156723, 테스트 정확도: 91.70065307617188
에포크: 44, 손실: 0.2185838669538498, 정확도: 93.33206176757812, 테스트 손실: 0.26365116238594055, 테스트 정확도: 91.75416564941406
에포크: 45, 손실: 0.21532627940177917, 정확도: 93.42265319824219, 테스트 손실: 0.2636629641056061, 테스트 정확도: 91.76219940185547
